Metric,Value
Total Trades,2
Total PnL,-161811
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,6256
Avg Loss,-168067
Profit Factor,0.04
Max Single Win,6256
Max Single Loss,-168067
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,168067
Avg Holding Duration,0h48m05s
Avg Return%,-0.81%
