Metric,Value
Total Trades,3
Total PnL,228535
Win Rate,66.7%
Win Count,2
Loss Count,1
Avg Win,178701
Avg Loss,-128866
Profit Factor,2.77
Max Single Win,329709
Max Single Loss,-128866
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,128866
Avg Holding Duration,2h18m27s
Avg Return%,0.76%
