Metric,Value
Total Trades,3
Total PnL,-74571
Win Rate,33.3%
Win Count,1
Loss Count,2
Avg Win,310644
Avg Loss,-192608
Profit Factor,0.81
Max Single Win,310644
Max Single Loss,-201729
Max Consecutive Wins,1
Max Consecutive Losses,2
Max Drawdown,385215
Avg Holding Duration,1h25m00s
Avg Return%,-0.25%
