Metric,Value
Total Trades,1
Total PnL,399950
Win Rate,100.0%
Win Count,1
Loss Count,0
Avg Win,399950
Avg Loss,0
Profit Factor,0.00
Max Single Win,399950
Max Single Loss,399950
Max Consecutive Wins,1
Max Consecutive Losses,0
Max Drawdown,0
Avg Holding Duration,4h02m27s
Avg Return%,4.00%
