Metric,Value
Total Trades,1
Total PnL,-217822
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-217822
Profit Factor,0.00
Max Single Win,-217822
Max Single Loss,-217822
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,217822
Avg Holding Duration,0h06m23s
Avg Return%,-2.18%
