Metric,Value
Total Trades,3
Total PnL,490908
Win Rate,66.7%
Win Count,2
Loss Count,1
Avg Win,326828
Avg Loss,-162749
Profit Factor,4.02
Max Single Win,370696
Max Single Loss,-162749
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,162749
Avg Holding Duration,2h40m18s
Avg Return%,1.64%
