Metric,Value
Total Trades,2
Total PnL,-329370
Win Rate,0.0%
Win Count,0
Loss Count,2
Avg Win,0
Avg Loss,-164685
Profit Factor,0.00
Max Single Win,-153417
Max Single Loss,-175953
Max Consecutive Wins,0
Max Consecutive Losses,2
Max Drawdown,329370
Avg Holding Duration,0h11m18s
Avg Return%,-1.65%
