Metric,Value
Total Trades,5
Total PnL,-190873
Win Rate,40.0%
Win Count,2
Loss Count,3
Avg Win,178701
Avg Loss,-182758
Profit Factor,0.65
Max Single Win,329709
Max Single Loss,-263158
Max Consecutive Wins,2
Max Consecutive Losses,3
Max Drawdown,548274
Avg Holding Duration,1h35m23s
Avg Return%,-0.38%
