Metric,Value
Total Trades,4
Total PnL,-607
Win Rate,50.0%
Win Count,2
Loss Count,2
Avg Win,157110
Avg Loss,-157413
Profit Factor,1.00
Max Single Win,192102
Max Single Loss,-163934
Max Consecutive Wins,2
Max Consecutive Losses,2
Max Drawdown,314826
Avg Holding Duration,0h16m25s
Avg Return%,-0.00%
