Metric,Value
Total Trades,1
Total PnL,-189329
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-189329
Profit Factor,0.00
Max Single Win,-189329
Max Single Loss,-189329
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,189329
Avg Holding Duration,0h07m38s
Avg Return%,-1.89%
