Metric,Value
Total Trades,1
Total PnL,-161943
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-161943
Profit Factor,0.00
Max Single Win,-161943
Max Single Loss,-161943
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,161943
Avg Holding Duration,0h10m09s
Avg Return%,-1.62%
