Metric,Value
Total Trades,8
Total PnL,367530
Win Rate,37.5%
Win Count,3
Loss Count,5
Avg Win,365702
Avg Loss,-145915
Profit Factor,1.50
Max Single Win,390270
Max Single Loss,-174292
Max Consecutive Wins,3
Max Consecutive Losses,5
Max Drawdown,729575
Avg Holding Duration,1h42m35s
Avg Return%,0.46%
