Metric,Value
Total Trades,2
Total PnL,-140803
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,6256
Avg Loss,-147059
Profit Factor,0.04
Max Single Win,6256
Max Single Loss,-147059
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,147059
Avg Holding Duration,0h47m41s
Avg Return%,-0.70%
