Metric,Value
Total Trades,3
Total PnL,378675
Win Rate,66.7%
Win Count,2
Loss Count,1
Avg Win,266790
Avg Loss,-154905
Profit Factor,3.44
Max Single Win,365734
Max Single Loss,-154905
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,154905
Avg Holding Duration,2h53m41s
Avg Return%,1.26%
