Metric,Value
Total Trades,1
Total PnL,-181635
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-181635
Profit Factor,0.00
Max Single Win,-181635
Max Single Loss,-181635
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,181635
Avg Holding Duration,0h05m40s
Avg Return%,-1.82%
