Metric,Value
Total Trades,1
Total PnL,-198020
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-198020
Profit Factor,0.00
Max Single Win,-198020
Max Single Loss,-198020
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,198020
Avg Holding Duration,0h06m19s
Avg Return%,-1.98%
