Metric,Value
Total Trades,6
Total PnL,1070173
Win Rate,66.7%
Win Count,4
Loss Count,2
Avg Win,327492
Avg Loss,-119899
Profit Factor,5.46
Max Single Win,388775
Max Single Loss,-123967
Max Consecutive Wins,4
Max Consecutive Losses,2
Max Drawdown,239797
Avg Holding Duration,2h50m57s
Avg Return%,1.78%
