Metric,Value
Total Trades,2
Total PnL,99877
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,119581
Avg Loss,-19704
Profit Factor,6.07
Max Single Win,119581
Max Single Loss,-19704
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,19704
Avg Holding Duration,3h36m07s
Avg Return%,0.50%
