Metric,Value
Total Trades,2
Total PnL,26873
Win Rate,100.0%
Win Count,2
Loss Count,0
Avg Win,13437
Avg Loss,0
Profit Factor,0.00
Max Single Win,15964
Max Single Loss,10909
Max Consecutive Wins,2
Max Consecutive Losses,0
Max Drawdown,0
Avg Holding Duration,2h09m16s
Avg Return%,0.13%
