Metric,Value
Total Trades,1
Total PnL,-151899
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-151899
Profit Factor,0.00
Max Single Win,-151899
Max Single Loss,-151899
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,151899
Avg Holding Duration,0h04m26s
Avg Return%,-1.52%
