Metric,Value
Total Trades,4
Total PnL,41946
Win Rate,50.0%
Win Count,2
Loss Count,2
Avg Win,174193
Avg Loss,-153220
Profit Factor,1.14
Max Single Win,262549
Max Single Loss,-196850
Max Consecutive Wins,2
Max Consecutive Losses,2
Max Drawdown,306439
Avg Holding Duration,2h07m50s
Avg Return%,0.10%
