Metric,Value
Total Trades,4
Total PnL,264937
Win Rate,50.0%
Win Count,2
Loss Count,2
Avg Win,308622
Avg Loss,-176154
Profit Factor,1.75
Max Single Win,367934
Max Single Loss,-192308
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,192308
Avg Holding Duration,3h09m02s
Avg Return%,0.66%
