Metric,Value
Total Trades,2
Total PnL,-342780
Win Rate,0.0%
Win Count,0
Loss Count,2
Avg Win,0
Avg Loss,-171390
Profit Factor,0.00
Max Single Win,-140351
Max Single Loss,-202429
Max Consecutive Wins,0
Max Consecutive Losses,2
Max Drawdown,342780
Avg Holding Duration,0h36m35s
Avg Return%,-1.71%
