Metric,Value
Total Trades,2
Total PnL,-297296
Win Rate,0.0%
Win Count,0
Loss Count,2
Avg Win,0
Avg Loss,-148648
Profit Factor,0.00
Max Single Win,-133630
Max Single Loss,-163666
Max Consecutive Wins,0
Max Consecutive Losses,2
Max Drawdown,297296
Avg Holding Duration,0h35m10s
Avg Return%,-1.49%
