Metric,Value
Total Trades,5
Total PnL,271594
Win Rate,40.0%
Win Count,2
Loss Count,3
Avg Win,284238
Avg Loss,-98960
Profit Factor,1.91
Max Single Win,335054
Max Single Loss,-146893
Max Consecutive Wins,2
Max Consecutive Losses,3
Max Drawdown,296881
Avg Holding Duration,2h11m58s
Avg Return%,0.54%
