Metric,Value
Total Trades,4
Total PnL,-774046
Win Rate,0.0%
Win Count,0
Loss Count,4
Avg Win,0
Avg Loss,-193511
Profit Factor,0.00
Max Single Win,-176899
Max Single Loss,-206767
Max Consecutive Wins,0
Max Consecutive Losses,4
Max Drawdown,774046
Avg Holding Duration,0h10m40s
Avg Return%,-1.94%
