Metric,Value
Total Trades,3
Total PnL,150049
Win Rate,33.3%
Win Count,1
Loss Count,2
Avg Win,410422
Avg Loss,-130187
Profit Factor,1.58
Max Single Win,410422
Max Single Loss,-147059
Max Consecutive Wins,1
Max Consecutive Losses,2
Max Drawdown,260373
Avg Holding Duration,1h31m15s
Avg Return%,0.50%
