Metric,Value
Total Trades,1
Total PnL,-161893
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-161893
Profit Factor,0.00
Max Single Win,-161893
Max Single Loss,-161893
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,161893
Avg Holding Duration,0h01m44s
Avg Return%,-1.62%
