Metric,Value
Total Trades,4
Total PnL,327547
Win Rate,50.0%
Win Count,2
Loss Count,2
Avg Win,326828
Avg Loss,-163055
Profit Factor,2.00
Max Single Win,370696
Max Single Loss,-163361
Max Consecutive Wins,2
Max Consecutive Losses,2
Max Drawdown,326109
Avg Holding Duration,2h02m20s
Avg Return%,0.82%
