Metric,Value
Total Trades,1
Total PnL,-173348
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-173348
Profit Factor,0.00
Max Single Win,-173348
Max Single Loss,-173348
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,173348
Avg Holding Duration,0h01m57s
Avg Return%,-1.73%
