Metric,Value
Total Trades,3
Total PnL,-476858
Win Rate,0.0%
Win Count,0
Loss Count,3
Avg Win,0
Avg Loss,-158953
Profit Factor,0.00
Max Single Win,-141243
Max Single Loss,-173160
Max Consecutive Wins,0
Max Consecutive Losses,3
Max Drawdown,476858
Avg Holding Duration,0h14m18s
Avg Return%,-1.59%
