Metric,Value
Total Trades,11
Total PnL,991411
Win Rate,81.8%
Win Count,9
Loss Count,2
Avg Win,143197
Avg Loss,-148683
Profit Factor,4.33
Max Single Win,247734
Max Single Loss,-152439
Max Consecutive Wins,6
Max Consecutive Losses,1
Max Drawdown,152439
Avg Holding Duration,0h32m05s
Avg Return%,0.90%
