Metric,Value
Total Trades,12
Total PnL,-649116
Win Rate,33.3%
Win Count,4
Loss Count,8
Avg Win,66131
Avg Loss,-114205
Profit Factor,0.29
Max Single Win,103520
Max Single Loss,-157171
Max Consecutive Wins,1
Max Consecutive Losses,5
Max Drawdown,730013
Avg Holding Duration,0h45m11s
Avg Return%,-0.54%
