Action    ,Symbol    ,Time                ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   
enter     ,3363      ,92658945020         ,-1e+07         ,-1e+07         ,SignalB        ,StrongGroup    ,-              ,20040.1        
enter     ,8021      ,93112520787         ,-2e+07         ,-1e+07         ,SignalB        ,StrongGroup    ,-              ,45454.5        
leave     ,8021      ,93119541733         ,-1.8e+07       ,-8e+06         ,-              ,-              ,takeProfit     ,36363.6        
leave     ,8021      ,93123736280         ,-1.59955e+07   ,-5.99545e+06   ,-              ,-              ,takeProfit     ,27272.7        
leave     ,8021      ,93352613969         ,-1.39864e+07   ,-3.98636e+06   ,-              ,-              ,takeProfit     ,18181.8        
leave     ,3363      ,93536782509         ,-1.19824e+07   ,-7.99599e+06   ,-              ,-              ,takeProfit     ,16032.1        
leave     ,3363      ,93647561658         ,-9.97434e+06   ,-5.98798e+06   ,-              ,-              ,takeProfit     ,12024          
leave     ,8021      ,93706918910         ,-7.9607e+06    ,-1.97273e+06   ,-              ,-              ,takeProfit     ,9090.91        
enter     ,2360      ,93931331090         ,-1.79607e+07   ,-1e+07         ,SignalB        ,StrongGroup    ,-              ,8695.65        
leave     ,2360      ,93935352696         ,-1.59607e+07   ,-8e+06         ,-              ,-              ,takeProfit     ,6956.52        
leave     ,2360      ,93936552179         ,-7.99549e+06   ,-34782.6       ,-              ,-              ,bailout        ,0              
enter     ,2360      ,93940479185         ,-1.79955e+07   ,-1.00348e+07   ,SignalB        ,StrongGroup    ,-              ,8695.65        
leave     ,2360      ,94011055806         ,-1.59955e+07   ,-8.03478e+06   ,-              ,-              ,takeProfit     ,6956.52        
leave     ,8021      ,94011569867         ,-1.39773e+07   ,45454.5        ,-              ,-              ,takeProfit     ,0              
enter     ,8021      ,94011569867         ,-2.39773e+07   ,-9.95455e+06   ,SignalB        ,StrongGroup    ,-              ,45045          
leave     ,8021      ,94011610278         ,-1.99818e+07   ,-5.95905e+06   ,-              ,-              ,takeProfit     ,27027          
leave     ,8021      ,94023853354         ,-1.40088e+07   ,13923          ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,94203204739         ,-2.40088e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,259067         
leave     ,2360      ,94345554285         ,-1.60436e+07   ,-69565.2       ,-              ,-              ,bailout        ,0              
enter     ,2360      ,94351390247         ,-2.60436e+07   ,-1.00696e+07   ,SignalB        ,StrongGroup    ,-              ,8695.65        
leave     ,2360      ,94356096335         ,-2.40436e+07   ,-8.06957e+06   ,-              ,-              ,takeProfit     ,6956.52        
leave     ,2360      ,94415314441         ,-2.20349e+07   ,-6.06087e+06   ,-              ,-              ,takeProfit     ,5217.39        
leave     ,2360      ,94431667313         ,-1.6061e+07    ,-86956.5       ,-              ,-              ,bailout        ,0              
enter     ,2360      ,94454097928         ,-2.6061e+07    ,-1.0087e+07    ,SignalB        ,StrongGroup    ,-              ,8658.01        
leave     ,2360      ,94454526834         ,-2.20697e+07   ,-6.09561e+06   ,-              ,-              ,takeProfit     ,5194.81        
leave     ,2485      ,95508131685         ,-1.21603e+07   ,-90673.6       ,-              ,-              ,stopLoss       ,0              
leave     ,2360      ,100207721916        ,-6.21229e+06   ,-147563        ,-              ,-              ,bailout        ,0              
enter     ,2360      ,100210156206        ,-1.62123e+07   ,-1.01476e+07   ,SignalB        ,StrongGroup    ,-              ,8658.01        
leave     ,2360      ,100211092393        ,-1.42209e+07   ,-8.15622e+06   ,-              ,-              ,takeProfit     ,6926.41        
leave     ,2360      ,100220057896        ,-1.22209e+07   ,-6.15622e+06   ,-              ,-              ,takeProfit     ,5194.81        
enter     ,2313      ,100438031574        ,-2.22209e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,49751.2        
enter     ,8299      ,100439112216        ,-3.22209e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,4987.53        
enter     ,2455      ,100525118724        ,-4.22209e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,52910.1        
enter     ,2344      ,101009656161        ,-5.22209e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,86206.9        
leave     ,2344      ,101009689536        ,-4.82296e+07   ,-6.00862e+06   ,-              ,-              ,takeProfit     ,51724.1        
leave     ,2344      ,101251504877        ,-4.22813e+07   ,-60344.8       ,-              ,-              ,bailout        ,0              
leave     ,2455      ,101655201717        ,-3.24136e+07   ,-132275        ,-              ,-              ,stopLoss       ,0              
enter     ,2485      ,102727074466        ,-4.24136e+07   ,-1.00907e+07   ,SignalA        ,StrongGroup    ,-              ,259067         
