Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,3529      ,92245288161         ,21300000       ,-2e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,4694.84        ,設計IP(G5/M1/R2)
leave     ,3529      ,92605184388         ,20950000       ,-2.01643e+07   ,-164319        ,-              ,-              ,stopLoss       ,0              
