Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank,M1Symbol,EntryPrice,EntryVWAP,DayHigh,PrevClose,0050OpenChg%,VolRatio,MonthTradingVal,IsPrevDayLU,IsDisposition,HadCircuitBreaker,GroupLimitUpCount,0050EntryChg%
8039,SignalA,StrongGroup,09:23:16,09:29:43,stopLoss,-153664,-1.54%,0h06m27s,CCL,9,1,1,,84.60,83.72,88.90,81.00,1.135,6.06,990277110,0,0,0,0,0.972
5289,SignalA,StrongGroup,09:19:14,10:03:49,stopLoss,-180276,-1.80%,0h44m35s,記憶體,6,1,1,,471.50,465.70,471.50,456.50,1.135,1.93,818240575,0,0,0,0,0.972
8299,SignalA,StrongGroup,09:15:57,11:02:57,stopLoss,-181818,-1.82%,1h47m00s,記憶體,10,1,1,,1100.00,1090.01,1100.00,1070.00,1.135,1.11,3001913750,0,0,0,0,0.972
1303,SignalA,StrongGroup,09:24:03,13:20:00,timeExit,74738,0.75%,3h55m57s,玻纖布,5,1,1,,66.90,65.88,67.60,64.40,1.135,4.43,3607426875,0,0,0,0,0.972
2317,SignalA,StrongGroup,09:05:11,13:20:00,timeExit,-87336,-0.87%,4h14m49s,ODM,3,1,1,,229.00,227.03,229.00,222.00,1.135,3.20,6080116175,0,0,0,0,1.053
8042,SignalA,StrongGroup,09:08:55,13:20:04,lockedLimitUp,293610,2.94%,4h11m09s,被動元件,2,1,1,,57.90,57.23,59.00,54.20,1.135,2.05,543379605,0,0,0,0,0.891
