Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank,M1Symbol,EntryPrice,EntryVWAP,DayHigh,PrevClose,0050OpenChg%,VolRatio,MonthTradingVal,IsPrevDayLU,IsDisposition,HadCircuitBreaker,GroupLimitUpCount,0050EntryChg%
3013,SignalA,StrongGroup,09:04:56,09:13:48,stopLoss,-187266,-1.87%,0h08m52s,機殼,8,1,1,,133.50,131.69,133.50,127.00,1.280,2.98,561351275,0,0,0,0,1.280
1303,SignalA,StrongGroup,09:10:28,12:16:57,stopLoss,-130506,-1.31%,3h06m29s,塑膠,18,1,1,,61.30,60.88,61.30,59.90,1.280,0.80,7354324785,0,0,0,0,1.200
2313,SignalA,StrongGroup,09:04:21,13:20:03,lockedLimitUp,457330,4.57%,4h15m42s,低軌衛星,8,1,1,,91.40,90.64,91.50,87.80,1.280,2.32,2693846765,0,0,0,0,1.360
3105,SignalA,StrongGroup,09:04:11,13:20:13,lockedLimitUp,241287,2.41%,4h16m02s,砷化鎵,1,1,1,,186.50,183.95,186.50,174.00,1.280,1.67,3779547000,0,0,0,0,1.280
2413,SignalA,StrongGroup,09:09:27,13:20:13,timeExit,285281,2.85%,4h10m46s,電供,15,1,1,,32.95,32.57,32.95,31.70,1.280,0.36,315444095,0,0,0,0,1.280
5340,SignalA,StrongGroup,09:12:21,13:20:15,timeExit,176935,1.77%,4h07m54s,玻纖布,3,1,1,,63.30,62.64,63.80,59.80,1.280,0.61,627472050,0,0,0,0,1.200
