Metric,Value
Total Trades,7
Total PnL,14388
Win Rate,42.9%
Win Count,3
Loss Count,4
Avg Win,145141
Avg Loss,-105258
Profit Factor,1.03
Max Single Win,262857
Max Single Loss,-132053
Max Consecutive Wins,2
Max Consecutive Losses,2
Max Drawdown,263200
Avg Holding Duration,1h10m25s
Avg Return%,0.02%
