Metric,Value
Total Trades,6
Total PnL,-98603
Win Rate,50.0%
Win Count,3
Loss Count,3
Avg Win,92110
Avg Loss,-124978
Profit Factor,0.74
Max Single Win,142687
Max Single Loss,-137421
Max Consecutive Wins,2
Max Consecutive Losses,2
Max Drawdown,266107
Avg Holding Duration,0h27m38s
Avg Return%,-0.16%
