Metric,Value
Total Trades,2
Total PnL,609859
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,747553
Avg Loss,-137694
Profit Factor,5.43
Max Single Win,747553
Max Single Loss,-137694
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,137694
Avg Holding Duration,2h03m36s
Avg Return%,3.05%
