Metric,Value
Total Trades,2
Total PnL,-20852
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,244528
Avg Loss,-265380
Profit Factor,0.92
Max Single Win,244528
Max Single Loss,-265380
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,265380
Avg Holding Duration,2h08m48s
Avg Return%,-0.10%
