Metric,Value
Total Trades,2
Total PnL,437803
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,621289
Avg Loss,-183486
Profit Factor,3.39
Max Single Win,621289
Max Single Loss,-183486
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,183486
Avg Holding Duration,2h07m01s
Avg Return%,2.19%
