Metric,Value
Total Trades,5
Total PnL,-409438
Win Rate,40.0%
Win Count,2
Loss Count,3
Avg Win,343555
Avg Loss,-365516
Profit Factor,0.63
Max Single Win,659417
Max Single Loss,-526316
Max Consecutive Wins,2
Max Consecutive Losses,3
Max Drawdown,1096548
Avg Holding Duration,1h35m23s
Avg Return%,-0.82%
