Metric,Value
Total Trades,2
Total PnL,6736
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,301818
Avg Loss,-295082
Profit Factor,1.02
Max Single Win,301818
Max Single Loss,-295082
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,295082
Avg Holding Duration,2h10m30s
Avg Return%,0.03%
