Metric,Value
Total Trades,6
Total PnL,1691993
Win Rate,66.7%
Win Count,4
Loss Count,2
Avg Win,559662
Avg Loss,-273328
Profit Factor,4.10
Max Single Win,777549
Max Single Loss,-289256
Max Consecutive Wins,4
Max Consecutive Losses,2
Max Drawdown,546656
Avg Holding Duration,2h51m02s
Avg Return%,2.82%
