Metric,Value
Total Trades,3
Total PnL,217233
Win Rate,66.7%
Win Count,2
Loss Count,1
Avg Win,305467
Avg Loss,-393701
Profit Factor,1.55
Max Single Win,525097
Max Single Loss,-393701
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,393701
Avg Holding Duration,2h47m29s
Avg Return%,0.72%
