Metric,Value
Total Trades,4
Total PnL,468279
Win Rate,50.0%
Win Count,2
Loss Count,2
Avg Win,436027
Avg Loss,-201888
Profit Factor,2.16
Max Single Win,611831
Max Single Loss,-376471
Max Consecutive Wins,2
Max Consecutive Losses,2
Max Drawdown,403775
Avg Holding Duration,2h35m30s
Avg Return%,1.17%
