Metric,Value
Total Trades,6
Total PnL,-331741
Win Rate,33.3%
Win Count,2
Loss Count,4
Avg Win,107025
Avg Loss,-136448
Profit Factor,0.39
Max Single Win,121457
Max Single Loss,-154162
Max Consecutive Wins,2
Max Consecutive Losses,3
Max Drawdown,432155
Avg Holding Duration,0h45m57s
Avg Return%,-0.55%
