Metric,Value
Total Trades,2
Total PnL,-505323
Win Rate,0.0%
Win Count,0
Loss Count,2
Avg Win,0
Avg Loss,-252662
Profit Factor,0.00
Max Single Win,-153417
Max Single Loss,-351906
Max Consecutive Wins,0
Max Consecutive Losses,2
Max Drawdown,505323
Avg Holding Duration,0h11m18s
Avg Return%,-2.53%
