Metric,Value
Total Trades,3
Total PnL,-418814
Win Rate,33.3%
Win Count,1
Loss Count,2
Avg Win,305915
Avg Loss,-362365
Profit Factor,0.42
Max Single Win,305915
Max Single Loss,-376471
Max Consecutive Wins,1
Max Consecutive Losses,2
Max Drawdown,724729
Avg Holding Duration,1h43m39s
Avg Return%,-1.40%
