Metric,Value
Total Trades,1
Total PnL,-137694
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-137694
Profit Factor,0.00
Max Single Win,-137694
Max Single Loss,-137694
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,137694
Avg Holding Duration,0h06m21s
Avg Return%,-1.38%
