Metric,Value
Total Trades,5
Total PnL,2146004
Win Rate,100.0%
Win Count,5
Loss Count,0
Avg Win,429201
Avg Loss,0
Profit Factor,0.00
Max Single Win,690704
Max Single Loss,49020
Max Consecutive Wins,5
Max Consecutive Losses,0
Max Drawdown,0
Avg Holding Duration,4h08m19s
Avg Return%,4.29%
