Metric,Value
Total Trades,3
Total PnL,160794
Win Rate,66.7%
Win Count,2
Loss Count,1
Avg Win,343555
Avg Loss,-526316
Profit Factor,1.31
Max Single Win,659417
Max Single Loss,-526316
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,526316
Avg Holding Duration,2h15m20s
Avg Return%,0.54%
