Metric,Value
Total Trades,3
Total PnL,183554
Win Rate,33.3%
Win Count,1
Loss Count,2
Avg Win,603636
Avg Loss,-210041
Profit Factor,1.44
Max Single Win,603636
Max Single Loss,-295082
Max Consecutive Wins,1
Max Consecutive Losses,2
Max Drawdown,420082
Avg Holding Duration,1h27m52s
Avg Return%,0.61%
