Metric,Value
Total Trades,2
Total PnL,1024353
Win Rate,100.0%
Win Count,2
Loss Count,0
Avg Win,512176
Avg Loss,0
Profit Factor,0.00
Max Single Win,741393
Max Single Loss,282960
Max Consecutive Wins,2
Max Consecutive Losses,0
Max Drawdown,0
Avg Holding Duration,3h59m35s
Avg Return%,5.12%
