Metric,Value
Total Trades,2
Total PnL,-131152
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,262549
Avg Loss,-393701
Profit Factor,0.67
Max Single Win,262549
Max Single Loss,-393701
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,393701
Avg Holding Duration,2h06m11s
Avg Return%,-0.66%
