Metric,Value
Total Trades,12
Total PnL,-414467
Win Rate,41.7%
Win Count,5
Loss Count,7
Avg Win,97152
Avg Loss,-128604
Profit Factor,0.54
Max Single Win,139665
Max Single Loss,-160183
Max Consecutive Wins,2
Max Consecutive Losses,3
Max Drawdown,572877
Avg Holding Duration,0h54m34s
Avg Return%,-0.35%
