Metric,Value
Total Trades,13
Total PnL,336890
Win Rate,61.5%
Win Count,8
Loss Count,5
Avg Win,134214
Avg Loss,-147365
Profit Factor,1.46
Max Single Win,230769
Max Single Loss,-165289
Max Consecutive Wins,4
Max Consecutive Losses,2
Max Drawdown,472107
Avg Holding Duration,0h56m35s
Avg Return%,0.26%
