Metric,Value
Total Trades,1
Total PnL,-154799
Win Rate,0.0%
Win Count,0
Loss Count,1
Avg Win,0
Avg Loss,-154799
Profit Factor,0.00
Max Single Win,-154799
Max Single Loss,-154799
Max Consecutive Wins,0
Max Consecutive Losses,1
Max Drawdown,154799
Avg Holding Duration,0h13m12s
Avg Return%,-1.55%
