Metric,Value
Total Trades,3
Total PnL,361464
Win Rate,66.7%
Win Count,2
Loss Count,1
Avg Win,266790
Avg Loss,-172117
Profit Factor,3.10
Max Single Win,365734
Max Single Loss,-172117
Max Consecutive Wins,2
Max Consecutive Losses,1
Max Drawdown,172117
Avg Holding Duration,2h53m44s
Avg Return%,1.20%
