Metric,Value
Total Trades,1
Total PnL,418193
Win Rate,100.0%
Win Count,1
Loss Count,0
Avg Win,418193
Avg Loss,0
Profit Factor,0.00
Max Single Win,418193
Max Single Loss,418193
Max Consecutive Wins,1
Max Consecutive Losses,0
Max Drawdown,0
Avg Holding Duration,4h09m09s
Avg Return%,4.18%
