Metric,Value
Total Trades,3
Total PnL,-44617
Win Rate,33.3%
Win Count,1
Loss Count,2
Avg Win,305915
Avg Loss,-175266
Profit Factor,0.87
Max Single Win,305915
Max Single Loss,-188235
Max Consecutive Wins,1
Max Consecutive Losses,2
Max Drawdown,350532
Avg Holding Duration,1h45m27s
Avg Return%,-0.15%
