Metric,Value
Total Trades,6
Total PnL,950319
Win Rate,66.7%
Win Count,4
Loss Count,2
Avg Win,305912
Avg Loss,-136664
Profit Factor,4.48
Max Single Win,388775
Max Single Loss,-144628
Max Consecutive Wins,4
Max Consecutive Losses,2
Max Drawdown,273328
Avg Holding Duration,2h50m39s
Avg Return%,1.58%
