Metric,Value
Total Trades,2
Total PnL,111838
Win Rate,50.0%
Win Count,1
Loss Count,1
Avg Win,244528
Avg Loss,-132690
Profit Factor,1.84
Max Single Win,244528
Max Single Loss,-132690
Max Consecutive Wins,1
Max Consecutive Losses,1
Max Drawdown,132690
Avg Holding Duration,2h08m48s
Avg Return%,0.56%
